iter	Passed	Remaining
0	0	571
1	1	503
2	1	508
3	1	497
4	2	488
5	2	478
6	3	469
7	3	469
8	4	456
9	4	457
10	5	459
11	5	486
12	6	487
13	6	488
14	7	492
15	8	498
16	8	489
17	8	490
18	9	487
19	9	486
20	10	480
21	10	478
22	11	480
23	11	476
24	12	474
25	12	471
26	12	466
27	13	464
28	13	466
29	14	464
30	14	462
31	15	462
32	15	461
33	16	457
34	16	461
35	17	461
36	17	460
37	18	459
38	18	462
39	19	462
40	19	461
41	20	461
42	20	460
43	21	457
44	22	470
45	23	486
46	23	485
47	24	483
48	24	482
49	25	480
50	25	479
51	26	478
52	26	477
53	27	473
54	27	472
55	27	470
56	28	470
57	28	469
58	29	468
59	29	466
60	30	465
61	30	462
62	31	461
63	31	460
64	31	460
65	32	457
66	32	456
67	33	456
68	33	455
69	34	454
70	34	453
71	35	453
72	35	452
73	36	452
74	36	451
75	37	450
76	37	450
77	38	450
78	38	449
79	39	448
80	39	448
81	39	447
82	40	446
83	40	445
84	41	445
85	41	444
86	42	444
87	42	443
88	43	442
89	43	441
90	44	440
91	44	441
92	45	441
93	45	441
94	46	440
95	46	439
96	47	439
97	47	437
98	48	437
99	48	436
100	48	434
101	49	433
102	49	433
103	50	432
104	50	431
105	51	430
106	51	429
107	51	429
108	52	428
109	52	428
110	53	426
111	53	424
112	54	424
113	54	423
114	55	423
115	55	422
116	55	421
117	56	419
118	56	419
119	57	418
120	57	418
121	57	417
122	58	416
123	58	416
124	59	415
125	59	415
126	60	414
127	60	414
128	61	413
129	61	412
130	62	412
131	62	412
132	63	411
133	63	411
134	64	410
135	64	409
136	64	409
137	65	408
138	65	408
139	66	407
140	66	407
141	67	406
142	67	405
143	68	404
144	68	403
145	68	402
146	69	401
147	69	401
148	70	401
149	70	399
150	70	399
151	71	399
152	71	398
153	72	397
154	72	397
155	73	396
156	73	395
157	74	395
158	74	394
159	74	393
160	75	392
161	75	392
162	76	391
163	76	390
164	77	390
165	77	389
166	78	389
167	78	388
168	78	388
169	79	387
170	79	387
171	80	386
172	80	386
173	81	385
174	81	384
175	82	384
176	82	383
177	82	383
178	83	382
179	83	382
180	84	381
181	84	380
182	85	380
183	85	379
184	86	379
185	86	378
186	86	378
187	87	376
188	87	376
189	88	375
190	88	375
191	89	374
192	89	374
193	89	373
194	90	373
195	90	372
196	91	371
197	91	370
198	92	370
199	92	369
200	92	368
201	93	368
202	93	367
203	93	366
204	94	365
205	94	365
206	95	364
207	95	363
208	96	363
209	96	363
210	96	362
211	97	361
212	97	361
213	98	361
214	98	360
215	99	359
216	99	359
217	100	359
218	100	358
219	100	358
220	101	357
221	101	357
222	102	356
223	102	355
224	103	355
225	103	354
226	104	354
227	104	353
228	105	353
229	105	353
230	105	352
231	106	352
232	106	351
233	107	351
234	107	350
235	108	350
236	108	349
237	109	349
238	109	348
239	109	348
240	110	347
241	110	346
242	111	346
243	111	345
244	112	345
245	112	344
246	112	344
247	113	343
248	113	343
249	114	342
250	114	342
251	115	341
252	115	341
253	116	340
254	116	340
255	116	339
256	117	339
257	117	339
258	118	338
259	118	337
260	119	337
261	119	336
262	120	336
263	120	335
264	120	335
265	121	334
266	121	334
267	122	333
268	122	332
269	122	332
270	123	331
271	123	330
272	124	330
273	124	330
274	125	329
275	125	329
276	125	328
277	126	327
278	126	327
279	127	326
280	127	326
281	127	325
282	128	325
283	128	324
284	129	324
285	129	323
286	130	323
287	130	322
288	130	322
289	131	321
290	131	321
291	132	321
292	132	320
293	133	320
294	133	319
295	134	319
296	134	318
